gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Sgk3,0.10142253,0.00039749016,-0.09620514,
Cspp1,0.18663347,0.00048785628,-0.17063256,
Slco5a1,0.124466926,0.00051578594,-0.11679343,
Mcm3,0.13549624,0.00048399833,-0.12658589,
Ogfrl1,0.21644013,0.00055061287,-0.1953782,
Smap1,0.33305365,0.0005192373,-0.2869532,
Rab23,0.03712943,0.00032570914,-0.036131077,
Dst,0.042203497,0.00038774154,-0.040949557,
Plekhb2,0.21715002,0.00041590494,-0.19609626,
Neurl3,0.38360766,0.000551675,-0.3241428,
Arid5a,0.13518874,0.0006537148,-0.12614544,
Kansl3,0.16231397,0.0004762259,-0.14993672,
Mgat4a,0.030854817,0.00043469737,-0.029953774,
Tbc1d8,0.15849982,0.00041933017,-0.14670667,
Rnf149,0.20313151,0.00047858534,-0.18444929,
Il1r2,0.086089775,0.0004561947,-0.0821278,
Il18r1,0.2614004,0.0006752958,-0.23154747,
Il18rap,0.06686881,0.00045961785,-0.0642685,
Nabp1,0.26255727,0.00048744289,-0.23265192,
Mfsd6,0.13769765,0.00043072738,-0.12857598,
Hspd1,0.5563682,0.0007272085,-0.44162807,
Tyw5,0.028664645,0.00036950008,-0.027892068,
Fam126b,0.022630978,0.0005130091,-0.021865819,
Cflar,0.38164333,0.00066593796,-0.3226079,
Ctla4,0.027252052,0.00047728737,-0.026410151,
Icos,0.1594749,0.0005597928,-0.14740759,
Nrp2,0.10013617,0.00035830864,-0.09507572,
Adam23,0.17873847,0.0005085359,-0.16393636,
Kansl1l,0.11764133,0.00043307734,-0.110787526,
Acadl,0.16186109,0.00058919645,-0.14943409,
Ikzf2,0.33090279,0.00078545546,-0.28507236,
Mreg,0.055002153,0.0003631155,-0.05317976,
Cxcr2,0.085181154,0.0004087826,-0.081338234,
Wnt10a,0.029027026,0.00037132864,-0.02824246,
Tuba4a,0.20507169,0.00064105546,-0.1858982,
Cul3,0.3015344,0.00048319632,-0.2630608,
Rhbdd1,0.04130719,0.00043656063,-0.04004037,
Pid1,0.048821017,0.00036889937,-0.04729786,
A530032D15Rik,0.02851693,0.0003038376,-0.027814098,
Sp140,0.13507697,0.0006235659,-0.12607709,
Itm2c,0.45147935,0.0006702755,-0.37191322,
Ncl,1.2465898,0.0010559655,-0.808358,
Ptma,2.5197024,0.001941933,-1.2564365,
Gigyf2,0.118109904,0.0005491712,-0.11109066,
Ramp1,0.2755078,0.0006098338,-0.24273473,
Gpr35,0.04976073,0.00031426724,-0.048248045,
Kif1a,0.021082358,0.0004246154,-0.020438675,
Hdlbp,0.15724212,0.00048684937,-0.14555295,
Atg4b,0.15077597,0.00047142987,-0.13996515,
Pdcd1,0.024042029,0.00047131535,-0.023286365,
D1Ertd622e,0.10237694,0.00036162065,-0.09710715,
Tnfrsf11a,0.062156525,0.00035499706,-0.059946366,
Bcl2,0.724295,0.000828587,-0.54399,
Ralb,0.060729794,0.00030377938,-0.05865342,
Ptpn4,0.13738729,0.00036350015,-0.12837034,
Tmem37,0.05921744,0.00043664026,-0.05709383,
Dbi,0.47674358,0.0007416262,-0.38909802,
Marco,0.07438459,0.00044439227,-0.07130373,
Ubxn4,0.42872366,0.00064306386,-0.35613862,
Mcm6,0.19126934,0.0004829583,-0.17453657,
Cxcr4,0.2020703,0.00043633548,-0.18360907,
Cd55,0.19566695,0.00046994447,-0.17823432,
Fcmr,0.24437843,0.000537186,-0.21809912,
Rab7b,0.03288268,0.00039549873,-0.03195819,
Mfsd4a,0.09662981,0.00049582665,-0.09174597,
Btg2,0.8400137,0.00072657876,-0.60904664,
Ppfia4,0.043228537,0.00035670266,-0.041963626,
Ptpn7,0.18774894,0.00052354153,-0.17153648,
Arl8a,0.18435259,0.00043803183,-0.16875835,
Rnpep,0.12733822,0.00043990937,-0.11941948,
Nav1,0.09937464,0.00033830895,-0.09440326,
Csrp1,0.24803948,0.0005511441,-0.22102292,
Phlda3,0.07249737,0.0003722623,-0.069617726,
Lad1,0.025298135,0.00031634897,-0.024667135,
Zfp281,0.14269239,0.000568542,-0.13281885,
Atp6v1g3,0.0,0.00044217444,0.0004420767,
Uchl5,0.19260186,0.00041528005,-0.17572217,
Rgs2,0.32322657,0.00054426835,-0.279529,
Rgs1,0.2959105,0.0007643966,-0.25844944,
Ptgs2,0.037228364,0.00037606526,-0.03617613,
Fam129a,0.14025252,0.00048501015,-0.13076486,
Edem3,0.064473554,0.00036971414,-0.062110715,
1700025G04Rik,0.09920996,0.0005128062,-0.094079025,
Rgl1,0.03747979,0.0003798518,-0.036414716,
Ncf2,0.18677017,0.0004087787,-0.17082678,
Glul,0.075790524,0.000387273,-0.07266857,
Tor1aip1,0.3821128,0.0007073786,-0.3229062,
Soat1,0.17268312,0.00034898022,-0.15894546,
Tor3a,0.0958998,0.0006196992,-0.09095625,
Ralgps2,0.17541507,0.000551912,-0.16106959,
Rabgap1l,0.35669684,0.00061736384,-0.3044358,
Atp1b1,0.32501563,0.0004954074,-0.28092897,
Xcl1,0.11970234,0.0011144464,-0.11194906,
Pbx1,0.06031642,0.0003740497,-0.058193393,
Uap1,0.11421854,0.00038697387,-0.1077664,
Sh2d1b1,0.027146481,0.0004165364,-0.0263681,
Fcrla,0.092211604,0.0003799249,-0.087824784,
Fcgr2b,0.09126053,0.00036547688,-0.086968064,
Fcgr3,0.1116595,0.0004083413,-0.10544568,
Fcer1g,0.68523395,0.0010473946,-0.5208576,
B4galt3,0.11144292,0.00036739485,-0.10529178,
Nectin4,0.02182334,0.0003911299,-0.021197565,
F11r,0.05983102,0.0003669081,-0.05774264,
Cd244,0.16260506,0.00050077797,-0.15016258,
Slamf7,0.23260874,0.00049648754,-0.20863649,
Cd48,0.6696701,0.00080301607,-0.51182336,
Slamf6,0.35929176,0.0007550284,-0.30620906,
Slamf9,0.009436342,0.00032776006,-0.009064391,
Tagln2,0.92835206,0.0008744782,-0.65579164,
Slamf8,0.041565068,0.00033721604,-0.0403873,
Ifi206,0.30518332,0.000863931,-0.26547995,
Ifi213,0.13285793,0.0006824533,-0.12406137,
Ifi209,0.40024465,0.000891361,-0.335756,
Ifi207,0.029902764,0.00037364836,-0.029090816,
Ifi204,0.017360294,0.0005518518,-0.016659627,
Mndal,0.8728161,0.0012880242,-0.62615603,
Ifi211,0.023930103,0.00050772505,-0.023140669,
Ifi205,0.067883156,0.00038017062,-0.06529823,
Kmo,0.06999863,0.00038242224,-0.06727502,
Cep170,0.06816923,0.0004269043,-0.06551937,
Sdccag8,0.044283085,0.0004706216,-0.042860094,
Zbtb18,0.08679191,0.000362626,-0.0828676,
Tfb2m,0.011332581,0.00043372714,-0.010835215,
Lbr,0.2858843,0.0006094726,-0.2508374,
Hlx,0.07601834,0.00039198247,-0.0728756,
Cenpf,0.026221953,0.00036497152,-0.025519148,
Ptpn14,0.039097354,0.0003150851,-0.03803737,
Smyd2,0.027153175,0.00039162915,-0.026399516,
Batf3,0.115208805,0.00047634085,-0.108565435,
Atf3,0.020598363,0.00033030027,-0.020058842,
Nenf,0.105394915,0.0003723174,-0.09983042,
Dtl,0.041303843,0.00037626704,-0.040097427,
Rcor3,0.055097323,0.00050126086,-0.05313188,
G0s2,0.055584896,0.00040669233,-0.05368841,
Cr2,0.08660057,0.00035839964,-0.082695745,
Fam107b,0.45065385,0.00050278305,-0.37151173,
Frmd4a,0.16896522,0.00039500938,-0.155724,
Camk1d,0.09519203,0.0005081726,-0.090421684,
Pfkfb3,0.18435232,0.000497927,-0.16869827,
Il15ra,0.13088943,0.00041457807,-0.12258994,
Mindy3,0.102221705,0.0005233478,-0.09680466,
Vim,1.278739,0.0011121107,-0.8225107,
Stam,0.03698284,0.00036628262,-0.035949167,
Mllt10,0.20858787,0.0005016498,-0.1889511,
Bmi1,0.043378334,0.00040467232,-0.042059258,
Msrb2,0.011128032,0.0004192422,-0.010647415,
Il1rn,0.03997771,0.00048199666,-0.0387174,
Zmynd19,0.034325488,0.000370311,-0.03337927,
Tubb4b,0.47137278,0.000732162,-0.38546395,
Npdc1,0.024453336,0.00030914036,-0.023850046,
Camsap1,0.015492645,0.00041965957,-0.014954288,
Nacc2,0.054504853,0.0003316144,-0.05273976,
Dnlz,0.14823827,0.00041518794,-0.13781372,
Med22,0.07896326,0.0003327013,-0.075667985,
Slc2a6,0.031192608,0.00044554044,-0.030270563,
Vav2,0.024895888,0.0003478546,-0.02424324,
Olfm1,0.08849566,0.00037030992,-0.08442637,
Tsc1,0.017117009,0.0004191808,-0.01655307,
Ttf1,0.08629417,0.0004639038,-0.082308255,
Odf2,0.10956255,0.00048170428,-0.10348426,
Set,1.0488069,0.0009575759,-0.7163005,
Endog,0.10576973,0.0004834452,-0.100058354,
Ptpa,0.15392496,0.0004894344,-0.14267983,
Exosc2,0.0,0.00040709414,0.0004070113,
Fam78a,0.3507588,0.0005456583,-0.300121,
Golga2,0.065855294,0.00031268573,-0.06346494,
Eng,0.05890125,0.00030983117,-0.05692203,
Zbtb43,0.059439436,0.00039512367,-0.05734489,
Traf1,0.5005303,0.0007192376,-0.4050996,
Gsn,0.17096435,0.0003861697,-0.15744154,
Ggta1,0.04958413,0.00043123844,-0.047962874,
Zbtb6,0.023958959,0.00040162491,-0.023274904,
Zeb2,0.1999603,0.00059035415,-0.18169829,
Zeb2os,0.052640274,0.00037378023,-0.050927848,
Rnd3,0.03389224,0.00034552225,-0.03298509,
Neb,0.047020763,0.0004119564,-0.04553689,
Arl5a,0.30751303,0.00047415835,-0.26765284,
Fmnl2,0.10817078,0.000427926,-0.102282874,
Nr4a2,0.072703354,0.0003293909,-0.06985262,
Gpd2,0.04952579,0.00038378083,-0.047954723,
Dapl1,0.7391567,0.0011173233,-0.55228364,
Cd302,0.0612178,0.00041633044,-0.059000872,
Tank,0.2525955,0.0005959278,-0.22462206,
Ifih1,0.07811832,0.00047126715,-0.074746065,
Gca,0.00921073,0.0003514475,-0.008817184,
