gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Malat1,5.208201,0.003363227,-1.8225136,
Tmsb4x,4.938403,0.0031240399,-1.7783211,
Actb,4.2637353,0.0021345208,-1.6587086,
Gm42418,4.24193,0.0026443265,-1.6540489,
Actg1,2.8256495,0.0020231002,-1.3397071,
Fth1,2.614475,0.0016748861,-1.2832731,
Ptma,2.5197024,0.001941933,-1.2564365,
Ftl1,2.3656478,0.0014740688,-1.2121475,
Npm1,2.1815486,0.0016045948,-1.1557647,
Calm1,2.0864491,0.0013339374,-1.1256883,
Cd74,1.9552175,0.0013584682,-1.0822146,
Trbc2,1.8511542,0.0016353892,-1.0460899,
Klf2,1.6508777,0.0012297527,-0.9736618,
Crip1,1.631505,0.0015914969,-0.9659657,
Ms4a4b,1.5599564,0.0018233081,-0.9381686,
H2afz,1.4802192,0.0012412018,-0.9071065,
Gapdh,1.4446058,0.0012540342,-0.89263064,
AW112010,1.4327089,0.0014195261,-0.8875869,
Ccl5,1.4088892,0.00169371,-0.8774734,
Cd3g,1.3646011,0.0014940065,-0.85911644,
Srgn,1.340785,0.0010609258,-0.849426,
Ifi27l2a,1.301337,0.0019318238,-0.8315603,
Vim,1.278739,0.0011121107,-0.8225107,
Gabarap,1.275895,0.00090258574,-0.8214712,
Ncl,1.2465898,0.0010559655,-0.808358,
Lsp1,1.2431595,0.0011408856,-0.8067451,
H2-Aa,1.2345157,0.001312292,-0.8027131,
Ran,1.2251555,0.0009522058,-0.79887503,
Junb,1.2004472,0.0008962796,-0.7877648,
Npc2,1.1993716,0.0012113597,-0.786961,
Calr,1.1763998,0.0008787027,-0.7767937,
Cst3,1.140079,0.0009918591,-0.7598514,
Ighm,1.1373675,0.0010811255,-0.75849444,
Trbc1,1.1334327,0.0014836246,-0.7562497,
Psme2,1.1241177,0.0012171488,-0.7521401,
Brk1,1.1083497,0.00078960945,-0.74511623,
S100a10,1.0969404,0.0010807207,-0.7393992,
H2-Ab1,1.095753,0.0012183412,-0.73869526,
Nkg7,1.0873094,0.0011708487,-0.7347057,
Mif,1.049887,0.0010229063,-0.71676224,
Set,1.0488069,0.0009575759,-0.7163005,
Pkm,0.99262685,0.00077342114,-0.68868065,
H2-Eb1,0.98096484,0.0010698588,-0.68251467,
Tcf7,0.97787637,0.0008504124,-0.6811737,
Epsti1,0.95662206,0.0011876092,-0.6700326,
Hmgb2,0.9451226,0.00081817806,-0.66450715,
Tagln2,0.92835206,0.0008744782,-0.65579164,
Ucp2,0.9159097,0.00095733296,-0.6492356,
Psap,0.91298854,0.00092030066,-0.6477468,
Txn1,0.910761,0.0008156117,-0.6466863,
Abracl,0.8790829,0.00096944184,-0.62981486,
S100a6,0.8766747,0.001088085,-0.628414,
Gpx1,0.87246084,0.0008132288,-0.62644064,
Mndal,0.8728161,0.0012880242,-0.62615603,
Atox1,0.86705744,0.00070732686,-0.6236566,
S100a11,0.860893,0.00088660774,-0.6201703,
Cd8b1,0.85531527,0.0012646298,-0.61679083,
Tmem123,0.8495423,0.0008298347,-0.6141087,
Ldha,0.84068334,0.0010525142,-0.6090849,
Btg2,0.8400137,0.00072657876,-0.60904664,
Ccnd2,0.83472747,0.0012597599,-0.60563695,
Rps27l,0.8233625,0.0006744996,-0.6000081,
Hsp90b1,0.8173496,0.000743235,-0.5966362,
Zfp36l2,0.8117205,0.0008277811,-0.59344953,
Pycard,0.80893016,0.00080932496,-0.5919266,
Nfkbia,0.7987651,0.00082079915,-0.5862799,
Tyrobp,0.79468745,0.00088760874,-0.58394367,
Lgals1,0.7918138,0.00090479915,-0.58232397,
Smc4,0.78593165,0.00074157724,-0.57919896,
Thy1,0.7792293,0.00091423915,-0.5752665,
Taldo1,0.77795833,0.00095709023,-0.574509,
Rgs10,0.76873296,0.00085974525,-0.56940407,
Cdk2ap2,0.76625746,0.0007839085,-0.56807923,
Ostf1,0.7648636,0.00074058777,-0.5673331,
Igkc,0.7628933,0.0010893182,-0.56586766,
Rtraf,0.74639124,0.00078140595,-0.5567704,
Neat1,0.7434603,0.0006981444,-0.55517393,
Ctss,0.7409129,0.0011360298,-0.5532742,
Dapl1,0.7391567,0.0011173233,-0.55228364,
Jun,0.73809373,0.00083132024,-0.551958,
Zfp36l1,0.7265863,0.000897843,-0.54524875,
Bcl2,0.724295,0.000828587,-0.54399,
Id2,0.6984552,0.00097486237,-0.5287447,
Cd8a,0.69821465,0.0011722244,-0.52840596,
Fcer1g,0.68523395,0.0010473946,-0.5208576,
Slc38a2,0.681164,0.0008904953,-0.51859635,
Ctsd,0.67503977,0.0006649376,-0.5151722,
Il7r,0.67489475,0.00096051855,-0.51479024,
Ier2,0.67250556,0.0006066078,-0.5137164,
Cd48,0.6696701,0.00080301607,-0.51182336,
Smdt1,0.66003764,0.00077474426,-0.50606585,
Lamp1,0.65808976,0.0006219463,-0.50504446,
Gm26917,0.6507278,0.0008359239,-0.5003807,
