gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Sgk3,0.10142253,0.00039969798,-0.09620293,
Cspp1,0.18663347,0.0004932458,-0.17062716,
Slco5a1,0.124466926,0.00052000175,-0.11678922,
Mcm3,0.13549624,0.00048188283,-0.126588,
Ogfrl1,0.21644013,0.0005320456,-0.19539677,
Smap1,0.33305365,0.0005392853,-0.28693315,
Rab23,0.03712943,0.00032265607,-0.03613413,
Dst,0.042203497,0.00038236286,-0.040954933,
Plekhb2,0.21715002,0.0004122989,-0.19609986,
Neurl3,0.38360766,0.00057237427,-0.32412213,
Arid5a,0.13518874,0.0006514903,-0.12614766,
Kansl3,0.16231397,0.00047819482,-0.14993475,
Mgat4a,0.030854817,0.00043118992,-0.029957281,
Tbc1d8,0.15849982,0.00040848937,-0.1467175,
Rnf149,0.20313151,0.00046596938,-0.1844619,
Il1r2,0.086089775,0.0004638753,-0.08212012,
Il18r1,0.2614004,0.0006633896,-0.23155937,
Il18rap,0.06686881,0.00046753875,-0.06426059,
Nabp1,0.26255727,0.00047709804,-0.23266226,
Mfsd6,0.13769765,0.00042318823,-0.1285835,
Hspd1,0.5563682,0.000756658,-0.44159862,
Tyw5,0.028664645,0.00036396997,-0.027897596,
Fam126b,0.022630978,0.0005057935,-0.02187303,
Cflar,0.38164333,0.0006659601,-0.3226079,
Ctla4,0.027252052,0.00047408344,-0.026413355,
Icos,0.1594749,0.00057352876,-0.14739387,
Nrp2,0.10013617,0.0003544715,-0.095079556,
Adam23,0.17873847,0.00049350044,-0.1639514,
Kansl1l,0.11764133,0.0004335937,-0.11078701,
Acadl,0.16186109,0.00060016505,-0.14942314,
Ikzf2,0.33090279,0.0008186522,-0.2850392,
Mreg,0.055002153,0.0003543429,-0.05318853,
Cxcr2,0.085181154,0.00041147592,-0.081335545,
Wnt10a,0.029027026,0.0003650498,-0.028248737,
Tuba4a,0.20507169,0.00065363,-0.18588564,
Cul3,0.3015344,0.00048721113,-0.26305678,
Rhbdd1,0.04130719,0.00043754053,-0.04003939,
Pid1,0.048821017,0.00034885324,-0.0473179,
A530032D15Rik,0.02851693,0.00030466588,-0.02781327,
Sp140,0.13507697,0.0006291279,-0.12607153,
Itm2c,0.45147935,0.00066314684,-0.37192035,
Ncl,1.2465898,0.0011184325,-0.8082956,
Ptma,2.5197024,0.0019808735,-1.2563976,
Gigyf2,0.118109904,0.0005569937,-0.11108284,
Ramp1,0.2755078,0.00059629825,-0.24274826,
Gpr35,0.04976073,0.00030832333,-0.048253987,
Kif1a,0.021082358,0.00042277892,-0.02044051,
Hdlbp,0.15724212,0.0004960717,-0.14554372,
Atg4b,0.15077597,0.00047365853,-0.13996293,
Pdcd1,0.024042029,0.00048355781,-0.02327413,
D1Ertd622e,0.10237694,0.0003691036,-0.09709967,
Tnfrsf11a,0.062156525,0.00035107305,-0.05995029,
Bcl2,0.724295,0.0008629417,-0.5439557,
Ralb,0.060729794,0.0002934006,-0.058663797,
Ptpn4,0.13738729,0.0003621345,-0.12837172,
Tmem37,0.05921744,0.00043170704,-0.05709876,
Dbi,0.47674358,0.0007350169,-0.38910463,
Marco,0.07438459,0.0004344593,-0.071313664,
Ubxn4,0.42872366,0.0006715302,-0.3561102,
Mcm6,0.19126934,0.00048420185,-0.17453533,
Cxcr4,0.2020703,0.0004290797,-0.18361633,
Cd55,0.19566695,0.00048863736,-0.17821564,
Fcmr,0.24437843,0.00054676307,-0.21808954,
Rab7b,0.03288268,0.00037956028,-0.031974122,
Mfsd4a,0.09662981,0.0005018225,-0.091739975,
Btg2,0.8400137,0.0007417318,-0.6090315,
Ppfia4,0.043228537,0.00035149223,-0.041968837,
Ptpn7,0.18774894,0.0005258382,-0.17153418,
Arl8a,0.18435259,0.00044106162,-0.16875531,
Rnpep,0.12733822,0.0004325572,-0.11942683,
Nav1,0.09937464,0.00033518928,-0.094406374,
Csrp1,0.24803948,0.00056092086,-0.22101314,
Phlda3,0.07249737,0.0003721198,-0.06961787,
Lad1,0.025298135,0.00031943384,-0.024664052,
Zfp281,0.14269239,0.0005712255,-0.13281617,
Atp6v1g3,0.0,0.0004422886,0.00044219085,
Uchl5,0.19260186,0.00041862446,-0.17571881,
Rgs2,0.32322657,0.00052801427,-0.27954525,
Rgs1,0.2959105,0.0007299125,-0.2584839,
Ptgs2,0.037228364,0.00037533292,-0.03617686,
Fam129a,0.14025252,0.00046942593,-0.13078044,
Edem3,0.064473554,0.00036859457,-0.062111832,
1700025G04Rik,0.09920996,0.00049960497,-0.09409222,
Rgl1,0.03747979,0.0003640084,-0.036430553,
Ncf2,0.18677017,0.000411343,-0.17082421,
Glul,0.075790524,0.00039329324,-0.07266255,
Tor1aip1,0.3821128,0.000697137,-0.32291642,
Soat1,0.17268312,0.00033710757,-0.15895733,
Tor3a,0.0958998,0.0006427374,-0.090933226,
Ralgps2,0.17541507,0.0005661618,-0.16105534,
Rabgap1l,0.35669684,0.0006190712,-0.3044341,
Atp1b1,0.32501563,0.0004979726,-0.2809264,
