gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Malat1,5.208201,0.0034782512,-1.8223989,
Tmsb4x,4.938403,0.0030851115,-1.7783599,
Actb,4.2637353,0.0021878956,-1.6586554,
Gm42418,4.24193,0.002735351,-1.6539582,
Actg1,2.8256495,0.002079313,-1.3396511,
Fth1,2.614475,0.0017027031,-1.2832453,
Ptma,2.5197024,0.0019808735,-1.2563976,
Ftl1,2.3656478,0.0014650993,-1.2121564,
Npm1,2.1815486,0.0016378848,-1.1557316,
Calm1,2.0864491,0.0013432555,-1.125679,
Cd74,1.9552175,0.0012802137,-1.0822928,
Trbc2,1.8511542,0.0016548886,-1.0460703,
Klf2,1.6508777,0.0012700349,-0.97362155,
Crip1,1.631505,0.0015756356,-0.96598154,
Ms4a4b,1.5599564,0.0018826567,-0.93810934,
H2afz,1.4802192,0.0012146179,-0.90713304,
Gapdh,1.4446058,0.0012835673,-0.89260113,
AW112010,1.4327089,0.0014240592,-0.88758236,
Ccl5,1.4088892,0.0016612886,-0.8775058,
Cd3g,1.3646011,0.0015390135,-0.8590715,
Srgn,1.340785,0.0010936403,-0.8493933,
Ifi27l2a,1.301337,0.001996725,-0.8314955,
Vim,1.278739,0.001094671,-0.8225282,
Gabarap,1.275895,0.00091161503,-0.8214622,
Ncl,1.2465898,0.0011184325,-0.8082956,
Lsp1,1.2431595,0.0011441646,-0.80674183,
H2-Aa,1.2345157,0.0012817386,-0.8027436,
Ran,1.2251555,0.0009572782,-0.79886997,
Junb,1.2004472,0.00090426294,-0.7877568,
Npc2,1.1993716,0.001226222,-0.7869462,
Calr,1.1763998,0.0008986837,-0.77677375,
Cst3,1.140079,0.00094683573,-0.75989634,
Ighm,1.1373675,0.0011433655,-0.7584322,
Trbc1,1.1334327,0.0014809644,-0.7562524,
Psme2,1.1241177,0.0012513767,-0.75210595,
Brk1,1.1083497,0.0008099681,-0.74509585,
S100a10,1.0969404,0.001069165,-0.73941076,
H2-Ab1,1.095753,0.0011867592,-0.7387268,
Nkg7,1.0873094,0.0012321357,-0.7346445,
Mif,1.049887,0.0010566928,-0.7167285,
Set,1.0488069,0.000985266,-0.71627283,
Pkm,0.99262685,0.000811229,-0.68864286,
H2-Eb1,0.98096484,0.0010263064,-0.6825582,
Tcf7,0.97787637,0.0008885939,-0.6811355,
Epsti1,0.95662206,0.0012411864,-0.6699791,
Hmgb2,0.9451226,0.0008058799,-0.6645194,
Tagln2,0.92835206,0.00089839246,-0.65576774,
Ucp2,0.9159097,0.00096883334,-0.64922416,
Psap,0.91298854,0.0008822091,-0.6477849,
Txn1,0.910761,0.0008249989,-0.64667696,
Abracl,0.8790829,0.0009882904,-0.629796,
S100a6,0.8766747,0.0010696242,-0.6284324,
Gpx1,0.87246084,0.0007937294,-0.62646013,
Mndal,0.8728161,0.0013588103,-0.62608534,
Atox1,0.86705744,0.0006878012,-0.6236761,
S100a11,0.860893,0.000869295,-0.6201876,
Cd8b1,0.85531527,0.0013157083,-0.61673987,
Tmem123,0.8495423,0.0008160615,-0.61412245,
Ldha,0.84068334,0.0010706752,-0.6090668,
Btg2,0.8400137,0.0007417318,-0.6090315,
Ccnd2,0.83472747,0.0013112305,-0.6055856,
Rps27l,0.8233625,0.0006737873,-0.6000088,
Hsp90b1,0.8173496,0.00073173124,-0.5966477,
Zfp36l2,0.8117205,0.0008403947,-0.5934369,
Pycard,0.80893016,0.0008401749,-0.59189576,
Nfkbia,0.7987651,0.00082362874,-0.58627707,
Tyrobp,0.79468745,0.00089102465,-0.58394027,
Lgals1,0.7918138,0.00090735016,-0.5823214,
Smc4,0.78593165,0.0007466529,-0.5791939,
Thy1,0.7792293,0.00093052874,-0.5752502,
Taldo1,0.77795833,0.00096716953,-0.57449895,
Rgs10,0.76873296,0.0008826914,-0.5693811,
Cdk2ap2,0.76625746,0.0008084981,-0.5680547,
Ostf1,0.7648636,0.00074283197,-0.56733084,
Igkc,0.7628933,0.0010796473,-0.5658773,
Rtraf,0.74639124,0.0007844418,-0.55676734,
Neat1,0.7434603,0.0006854677,-0.5551866,
Ctss,0.7409129,0.0011524302,-0.5532579,
Dapl1,0.7391567,0.0011511449,-0.55224985,
Jun,0.73809373,0.0008573371,-0.551932,
Zfp36l1,0.7265863,0.0009077059,-0.5452389,
Bcl2,0.724295,0.0008629417,-0.5439557,
Id2,0.6984552,0.0009592832,-0.5287603,
Cd8a,0.69821465,0.0011992793,-0.5283789,
Fcer1g,0.68523395,0.0010120636,-0.52089286,
Slc38a2,0.681164,0.000888923,-0.5185979,
Ctsd,0.67503977,0.0006757378,-0.5151614,
Il7r,0.67489475,0.000978567,-0.5147722,
Ier2,0.67250556,0.0006214479,-0.51370156,
Cd48,0.6696701,0.00081977574,-0.5118066,
Smdt1,0.66003764,0.00077215064,-0.5060684,
Lamp1,0.65808976,0.00060521415,-0.50506115,
Gm26917,0.6507278,0.0008815763,-0.5003351,
